Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27
0.014,0.008,0.008,0.008,0.01,0.01,0.222,0.008,0.016,0.048,0.05,0.05,0.052,0.052,0.05,0.312,0.054,0.038,0.1,0.11,0.11,0.11,0.106,0.084,0.41,0.088,0.116
0.262,0.304,0.308,0.312,0.308,0.202,0.016,0.16,0.404,0.43,0.514,0.518,0.528,0.52,0.428,0.084,0.338,0.6,0.596,0.656,0.658,0.662,0.666,0.54,0.172,0.46,0.7
0.942,0.964,0.966,0.966,0.966,0.898,0.332,0.834,0.976,0.986,0.992,0.992,0.992,0.992,0.984,0.578,0.952,0.994,0.992,0.994,0.994,0.994,0.994,0.992,0.714,0.974,0.996
1.0,1.0,1.0,1.0,1.0,1.0,0.92,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.018,0.018,0.018,0.018,0.018,0.018,0.072,0.022,0.014,0.07,0.052,0.05,0.052,0.056,0.046,0.186,0.088,0.074,0.11,0.104,0.104,0.108,0.11,0.092,0.29,0.146,0.12
0.23,0.292,0.288,0.288,0.29,0.216,0.126,0.242,0.438,0.458,0.502,0.5,0.498,0.498,0.396,0.27,0.464,0.624,0.57,0.632,0.632,0.63,0.622,0.512,0.394,0.558,0.736
0.908,0.954,0.954,0.952,0.952,0.898,0.588,0.918,0.982,0.982,0.988,0.988,0.988,0.986,0.966,0.784,0.96,0.992,0.99,0.996,0.996,0.996,0.996,0.99,0.866,0.968,0.996
1.0,1.0,1.0,1.0,1.0,1.0,0.972,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.008,0.016,0.016,0.014,0.014,0.012,0.044,0.042,0.02,0.064,0.042,0.042,0.042,0.044,0.062,0.116,0.108,0.072,0.098,0.102,0.102,0.104,0.104,0.11,0.19,0.172,0.13
0.2,0.264,0.27,0.266,0.258,0.254,0.074,0.266,0.392,0.44,0.46,0.46,0.468,0.47,0.442,0.166,0.46,0.634,0.538,0.586,0.592,0.596,0.604,0.55,0.242,0.586,0.754
0.912,0.942,0.946,0.95,0.948,0.938,0.412,0.914,0.974,0.978,0.986,0.986,0.986,0.988,0.976,0.66,0.978,0.994,0.992,0.996,0.996,0.996,0.996,0.992,0.762,0.988,0.996
1.0,1.0,1.0,1.0,1.0,1.0,0.942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.014,0.022,0.022,0.02,0.016,0.014,0.012,0.022,0.012,0.054,0.062,0.062,0.062,0.064,0.054,0.034,0.064,0.056,0.108,0.108,0.106,0.104,0.104,0.118,0.056,0.13,0.118
0.278,0.336,0.336,0.332,0.324,0.244,0.014,0.212,0.43,0.448,0.526,0.526,0.532,0.538,0.458,0.048,0.426,0.66,0.58,0.662,0.662,0.66,0.662,0.58,0.112,0.564,0.762
0.952,0.974,0.972,0.972,0.968,0.938,0.16,0.9,0.984,0.984,0.99,0.99,0.992,0.992,0.984,0.356,0.972,1.0,0.988,1.0,1.0,1.0,1.0,0.988,0.514,0.988,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.966,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
