x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
24.575458203408715,44.068003087880385,29.39166176927889,32.19914382054831,24.59580419819481,44.04713354202415,29.373773272219534,32.17109571589049,24.86519913125411,44.50962027156373,29.470092776161096,32.04792290848882,25.512548187405322,45.96518742942253,29.92898948138278,32.28835925764931,27.333521009778348,50.769608126783474,31.57511328754078,33.87797416218634,24.35529693837178,44.7157530744889,29.77834747396987,32.57411959850475
26.53987819179398,27.12310177235514,28.094301360441072,37.55404272888989,26.51939877013528,27.095034496615447,28.099515000834085,37.5455290637615,26.511776355118737,27.015328377199378,28.152572875051202,37.79193802064687,26.75243037855157,27.15758116961652,28.534915718196732,38.67653726312369,27.85835164235403,28.121880430464948,30.009432127974538,41.66755276501779,26.827081653802278,27.616130210517007,28.153529976807533,38.20953938242566
37.48313941568328,23.13705611195787,33.231328704389895,34.68776902794904,37.492791278026175,23.136067402159686,33.24324506878115,34.67026218336493,37.21606754259172,23.272497984296415,33.205088632723715,35.15136257112975,37.24749121679663,23.685080871639343,33.541945858523945,36.38285745445152,38.49274392545236,24.96728468354679,35.185610633969624,40.097372627830396,37.72639830159903,23.356366658998397,33.3540046143853,35.051590195636585
43.9940777036988,32.423871507599536,27.688375284718973,22.776332176848104,44.00236407975702,32.39354461877501,27.68582413937385,22.76123736547244,44.268976822352556,32.30237917082381,27.9353754792287,22.65449680729841,45.3460783178224,32.594568180723954,28.64310975993915,22.69852732878156,49.12060398316573,34.263096294449554,30.83607574677444,23.31417563288371,44.253633545200415,33.07331092807558,27.702710559423636,22.995196975404028
28.844315260633252,38.36350145331233,18.54380112352361,30.067488407692633,28.83873760898153,38.35009154780861,18.495556744098504,30.096929416719227,28.753811793150266,38.5581583390958,18.444087539258273,30.119731817292795,28.907739842963878,39.378502028785896,18.500653071371424,30.54307712621235,29.934585019630983,42.22933950285173,18.952191901224715,32.34294064467595,29.06246812454994,38.79725645435207,19.217219044816286,30.076693257214785
28.90748864732822,41.80459690174741,23.035288158589445,29.708505606317676,28.90337166873257,41.80169825023993,22.990729457851995,29.699841678860913,29.100052228364714,41.807663248230114,23.13507777607108,29.731212631602297,29.703850481792756,42.38973139716926,23.54524100383838,30.09042789169737,31.633529176034735,45.01063267681271,24.795370847134553,31.557514733989674,29.262755581376613,42.32170282651683,23.51546849051406,30.058003048416406
26.16266559829445,25.346565410072966,20.88249352426893,31.717838347563234,26.134133424831134,25.314603424663325,20.88562726499467,31.699492146810318,26.219758660292765,25.58393178512865,20.960809591397062,31.972954146666577,26.563924645943587,26.27296622892249,21.249399492174707,32.73142892893371,27.750987748541824,28.32444436422091,22.232095858961333,35.033031387136575,26.781103961931827,25.931310154926756,21.033876137876668,31.812871998228786
32.57991736446701,30.88311004036383,31.451303263580048,38.71143777486301,32.535343373356255,30.87882867243954,31.361227427634155,38.69460553999563,32.68529489589187,30.87016021599671,31.412641808821725,39.05030233487572,33.219790455401835,31.15773011660747,31.824225058308816,40.087564510202846,34.97603927565306,32.46264904225771,33.4450015702069,43.33690277701778,33.149370451933734,31.01875293302212,32.40719262965092,38.99704216715722
47.90928158865426,17.244929721676044,28.097793073706402,48.341527316640956,47.92937013312452,17.094582292011008,28.09585620825958,48.23615364991182,47.90786676403632,16.993452923374573,28.197250937403897,48.39889512578064,48.784194161766145,16.952246905161527,28.65064391247861,49.50549224643451,52.795207498182926,17.176407798695717,30.26633934936461,53.91252612360571,47.85900710957596,18.879649289365187,28.272739157026034,49.399133687403086
29.678755613231072,31.32969980870117,42.827513105338475,43.98007667580864,29.665961341892302,31.329326596634683,42.82566156020564,44.03566465527243,30.078647279188917,31.222422258100373,42.63556599426781,44.4058493798249,31.08576662312013,31.355274555954313,43.124132902824485,45.70388088352472,33.979700042687355,32.35391363024641,46.08019125960806,50.08991747086483,30.52261086383169,31.31277032224317,43.182804764489774,43.95121568494654
